Timestamp,Full Name,Email ID,Mobile Number,Gender,Branch,Year of Study,Current CGPA (out of 10),Average Study Hours per Week,Class Attendance (%),Have you done any internships?,Number of Technical Clubs or Competitions Participated In,Number of Certifications or Online Courses Completed,Preferred Career choice,"Resources Used for Learning (e.g., YouTube, Coursera, Books)",Main Challenges Faced During Study,Satisfaction with College Support Services (1 to 5) (Linear scale: 1 - Very Unsatisfied to 5 - Very Satisfied),Any Suggestions to Improve Academic or Career Support
2025/06/09 2:56:09 PM GMT+5:30,Student_f250566b,email_579c1d5d@anonymous.com,xxxxxx4173,Male,Computer Science,3Rd,7.0,20.0,60,Yes,2,2,"Business & Management (Mba ,product manager ,etc)",You tube,Concentration,3,Other Suggestions
2025/06/09 5:40:00 PM GMT+5:30,Student_ccc51c07,email_1d4f794e@anonymous.com,xxxxxx9114,Male,Computer Science,3Rd,6.2,0.0,55,Yes,2,0,"Research & Academia(Mtech,phd)",YouTube ,Other,1,No Suggestion
2025/06/09 5:53:29 PM GMT+5:30,Student_7f0bf777,email_1f466354@anonymous.com,xxxxxx8937,Female,Computer Science,3Rd,7.0,14.0,70,No,1,0,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",Youtube,Concentration,3,Other Suggestions
2025/06/09 5:54:10 PM GMT+5:30,Student_0dec1251,email_4716b74e@anonymous.com,xxxxxx0364,Female,Computer Science,3Rd,8.6,35.0,90,No,0,2,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",youtube,Time Management,3,Practical Learning
2025/06/09 5:57:09 PM GMT+5:30,Student_a26bf641,email_a7ff9fc2@anonymous.com,xxxxxx9522,Male,Computer Science,3Rd,7.2,21.0,60,No,0,0,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)","YouTube,books",Time Management,4,Teaching Methods
2025/06/09 6:00:53 PM GMT+5:30,Student_f4e437e1,email_f0269bd0@anonymous.com,xxxxxx4736,Female,Computer Science,3Rd,8.26,50.0,80,No,0,2,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",YouTube and coursera,Academic Difficulty,3,Other Suggestions
2025/06/09 6:08:21 PM GMT+5:30,Student_97c8f692,email_d9f995bb@anonymous.com,xxxxxx7935,Male,Computer Science,2Nd,7.04,30.0,75,Yes,1,1,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",Youtube,Concentration,3,Curriculum
2025/06/09 6:18:43 PM GMT+5:30,Student_61322496,email_a362cae7@anonymous.com,xxxxxx1575,Female,Computer Science,1St,9.14,4.0,80,No,3,3,"Business & Management (Mba ,product manager ,etc)",Online n books,Time Management,3,Other Suggestions
2025/06/09 6:25:22 PM GMT+5:30,Student_514cb4c5,email_ce47723a@anonymous.com,xxxxxx2062,Female,Computer Science,3Rd,7.48,15.0,70,No,0,2,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)","Coursera, Youtube",Time Management,1,Teaching Methods
2025/06/09 6:29:29 PM GMT+5:30,Student_6cad87b3,email_466c4b18@anonymous.com,xxxxxx9541,Female,Electrical,2Nd,7.5,14.0,70,No,0,1,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",YouTube ,Motivation,1,Career Support
2025/06/09 6:31:10 PM GMT+5:30,Student_748a0827,email_42471b1c@anonymous.com,xxxxxx7084,Male,Computer Science,3Rd,7.7,3.0,77,No,0,2,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",youtube,Other,1,Other Suggestions
2025/06/09 6:32:03 PM GMT+5:30,Student_59246747,email_42863755@anonymous.com,xxxxxx0902,Male,Computer Science,3Rd,7.9,10.0,67,Yes,0,2,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",YouTube and Coursera,Time Management,3,Other Suggestions
2025/06/09 6:32:09 PM GMT+5:30,Student_9bfd2f95,email_e0c199df@anonymous.com,xxxxxx1720,Male,Computer Science,3Rd,7.0,1.0,20,No,0,0,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",Youtube ,Concentration,1,Other Suggestions
2025/06/09 6:34:56 PM GMT+5:30,Student_11e1fae8,email_16a35e4a@anonymous.com,xxxxxx9728,Male,Computer Science,2Nd,7.0,3.0,50,No,0,0,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",Youtube,Concentration,3,Teaching Methods
2025/06/09 6:35:57 PM GMT+5:30,Student_efc7a04f,email_2bd23718@anonymous.com,xxxxxx7092,Male,Computer Science,3Rd,8.0,5.0,70,No,0,0,Startup,Books,Other,3,Other Suggestions
2025/06/09 6:36:13 PM GMT+5:30,Student_204cd7bd,email_81988b96@anonymous.com,xxxxxx8649,Male,Computer Science,3Rd,7.2,10.0,80,No,0,4,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",Course ,Other,4,Other Suggestions
2025/06/09 6:36:35 PM GMT+5:30,Student_aaaa7d53,email_d0f22460@anonymous.com,xxxxxx0221,Female,Computer Science,3Rd,7.02,25.0,80,Yes,0,3,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)","Youtube , geeksforgeeks",Concentration,3,Other Suggestions
2025/06/09 6:38:11 PM GMT+5:30,Student_3da087f0,email_7d9e4c48@anonymous.com,xxxxxx0919,Male,Computer Science,3Rd,6.5,4.0,75,No,0,1,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",YouTube ,Concentration,3,Career Support
2025/06/09 6:38:15 PM GMT+5:30,Student_b789df95,email_b5a6496d@anonymous.com,xxxxxx0522,Female,Computer Science,4Th,8.65,25.0,85,No,2,5,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)","YouTube,books",Academic Difficulty,4,Career Support
2025/06/09 6:39:58 PM GMT+5:30,Student_e861a9f8,email_9d7edc89@anonymous.com,xxxxxx3733,Male,Computer Science,3Rd,7.8,5.0,81,No,0,2,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",YouTube ,Other,2,Other Suggestions
2025/06/09 6:40:06 PM GMT+5:30,Student_86763927,email_6e4bd31e@anonymous.com,xxxxxx6586,Male,Electrical,2Nd,8.0,0.0,12,Yes,1,6,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",Gateway,Concentration,1,Teaching Methods
2025/06/09 6:40:18 PM GMT+5:30,Student_f9e020b6,email_e515472c@anonymous.com,xxxxxx6585,Male,Computer Science,1St,8.6,40.0,92,No,2,0,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",YouTube & Udemy,Time Management,2,Extra Activities
